82190885,5461119
3017023878,2890467505
1120622369,971050273
1230728027,1081196783
1256305142,1106785819
14274194,7430868
97576470,159254470
218413741,103226257
262325675,147138100
311614400,196406221
79179747,16231510
2581760527,2488754960
1238553325,1119945212
1253741292,1135263212
1319383438,1200840676
1355935763,1237401461
221545280,111961072
312722171,203056334
341318761,231778200
363315441,253832939
380459384,270961083
133154742,28924934
71292902,3545601
1988770572,1927352094
1269538679,1157936689
1290079418,1178478449
1368834908,1257237216
1377292242,1265059033
223125551,124790110
328258623,229986094
364681288,266475906
375311722,277160193
68877004,3864520
137746511,2905422
1987083416,1946742501
982247433,952112860
1073074044,1043034197
1099913931,1069899057
1130686437,1100698542
82760134,9882784
104718538,9181216
236929754,141325764
243523975,148026077
250030982,154576676
130422928,41390673
46252026,192554358
2016783961,1965852865
1022019296,991619111
1031285999,1000688532
1076142765,1043901168
247431063,158855305
285845666,197234462
315271158,226710894
355446843,266893378
437461161,348895092
21165994,22972792
38131771,9081843
2097669308,2035107748
973281403,940058058
1022334119,997482765
1025465534,1000709999
383514851,158676398
390088000,165337819
414711656,189931784
520377256,295535671
45602444,387281796
16875971,75948856
2125523511,2101802816
821475405,787544051
67212320,41472269
151619774,125903873
90071938,66721462
185056383,161750712
194238537,170966242
248596958,225282247
78639301,24403763
57033346,39652384
22368207,18312898
2297479879,2236705322
549864467,530788534
120739038,101719359
250987862,231230608
172245178,121190396
314224001,263144635
342577086,291535046
405490350,354406514
132526573,46377345
167577029,81417972
2420761589,2315411906
482105629,458448846
74315663,11379964
241011369,178063995
273369595,189406788
310827916,226883633
379784227,295883259
35179886,397318053
81203363,22026524
27893422,124412501
61510546,11070793
2307693564,2213269297
122792657,20312113
179424906,151034087
315914580,287482288
140304266,63965152
215491150,193768106
256247790,234508486
269021703,247338893
345377916,323645368
24637209,595580
26065106,35225626
2859439292,2783751616
109560612,79568582
120042124,90078783
114001857,25298083
225837464,186438974
242470342,202949021
259204053,219864024
319970496,280621509
351820405,312467323
363300030,322876983
2983843408,2898944264
3242358074,3157354251
24464067,8913380
54142713,39715369
26416362,41742090
490906239,419670258
565349155,494260043
604794422,533750291
641615877,570600008
658970099,587996406
20542901,615405516
92266121,437477
98577049,7002688
2833387947,2780983757
2840891878,2788569985
2847590463,2795258594
3052097771,2999684625
289289645,221676397
189087828,159655294
260905272,231479472
336770558,307359350
109095944,92754495
106621782,29592299
3105031950,3008628266
3147468790,3051115100
3171060557,3074710307
3249648733,3153264402
8507307,54797253
116554420,97519460
254592498,235552135
136832293,107975332
167265971,138508023
40924882,238692291
3263365960,3170998432
3395916988,3303513401
19551033,3364064364
19242177,5155597
132856274,50360345
200390514,167540304
354755176,321938522
399659705,366824849
52187878,23790055
61715853,33368751
3093407014,3043617641
3220800714,3171078418
3298250311,3248497672
90629833,54658778
54241840,39704905
503054239,388459440
551351725,436799170
638578161,524034883
93725439,27906932
109066559,43290542
